Pub order	crosswordtracker.com/clue/pub-order/
The King's Head order	http://www.crosswordgiant.com/crossword-clue/630448/The-Kings-Head-order
Dart thrower's order	http://www.crosswordgiant.com/crossword-clue/633248/Dart-throwers-order
Beverage whose homonym describes what you'll do if you drink too much of it	http://www.crosswordgiant.com/crossword-clue/634619/Beverage-whose-homonym-describes-what-youll-do-if-you-drink-too-much-of-it
Calgary Stock ____	http://www.crosswordgiant.com/crossword-clue/639500/Calgary-Stock-____
Samuel Adams product	http://www.crosswordgiant.com/crossword-clue/639550/Samuel-Adams-product
Ginger or pale	http://www.crosswordgiant.com/crossword-clue/644319/Ginger-or-pale
It may be quaffed in pints	http://www.crosswordgiant.com/crossword-clue/646302/It-may-be-quaffed-in-pints
Pub alternative	http://www.crosswordgiant.com/crossword-clue/646314/Pub-alternative
It may be on tap in taprooms	http://www.crosswordgiant.com/crossword-clue/648785/It-may-be-on-tap-in-taprooms
It's poured in pints	http://www.crosswordgiant.com/crossword-clue/649299/Its-poured-in-pints
Barley sandwich?	http://www.crosswordgiant.com/crossword-clue/651155/Barley-sandwich
1-Across request	http://www.crosswordgiant.com/crossword-clue/652035/1-Across-request
Londoner's pintful	http://www.crosswordgiant.com/crossword-clue/659205/Londoners-pintful
Mug filler, sometimes	http://www.crosswordgiant.com/crossword-clue/661955/Mug-filler-sometimes
Order at the Pig and Whistle	http://www.crosswordgiant.com/crossword-clue/662440/Order-at-the-Pig-and-Whistle
Pete's Wicked, for one	http://www.crosswordgiant.com/crossword-clue/667135/Petes-Wicked-for-one
Toby brew	http://www.crosswordgiant.com/crossword-clue/677690/Toby-brew
Contents of some kegs	http://www.crosswordgiant.com/crossword-clue/679632/Contents-of-some-kegs
Tapped tipple	http://www.crosswordgiant.com/crossword-clue/680936/Tapped-tipple
Malted drink	http://www.crosswordgiant.com/crossword-clue/683318/Malted-drink
It's ordered in pints	http://www.crosswordgiant.com/crossword-clue/684405/Its-ordered-in-pints
It's ordered in pints	http://www.crosswordgiant.com/crossword-clue/685812/Its-ordered-in-pints
Beer in Bath	http://www.crosswordgiant.com/crossword-clue/688949/Beer-in-Bath
Wassailing choice	http://www.crosswordgiant.com/crossword-clue/692268/Wassailing-choice
Mersey mugful	http://www.crosswordgiant.com/crossword-clue/692754/Mersey-mugful
Stout cousin?	http://www.crosswordgiant.com/crossword-clue/693181/Stout-cousin
Pub crawler's drink	http://www.crosswordgiant.com/crossword-clue/695342/Pub-crawlers-drink
Pub crawler's drink	http://www.crosswordgiant.com/crossword-clue/695786/Pub-crawlers-drink
Pig and Whistle order	http://www.crosswordgiant.com/crossword-clue/695833/Pig-and-Whistle-order
Word with India Pale	http://www.crosswordgiant.com/crossword-clue/698903/Word-with-India-Pale
It may give a bloke a buzz	http://www.crosswordgiant.com/crossword-clue/700098/It-may-give-a-bloke-a-buzz
Tapped beverage	http://www.crosswordgiant.com/crossword-clue/701314/Tapped-beverage
First-round draft pick?	http://www.crosswordgiant.com/crossword-clue/702323/First-round-draft-pick
Steak or cakes partner	http://www.crosswordgiant.com/crossword-clue/705373/Steak-or-cakes-partner
Rapidly fermented quaff	http://www.crosswordgiant.com/crossword-clue/705647/Rapidly-fermented-quaff
Alec's Guinness?	http://www.crosswordgiant.com/crossword-clue/716843/Alecs-Guinness
Dark or pale drink	http://www.crosswordgiant.com/crossword-clue/718398/Dark-or-pale-drink
Drink from a stein	http://www.crosswordgiant.com/crossword-clue/720976/Drink-from-a-stein
Friar Tuck's beverage	http://www.crosswordgiant.com/crossword-clue/729127/Friar-Tucks-beverage
"Cakes and ___" (Maugham novel)	http://www.crosswordgiant.com/crossword-clue/729887/Cakes-and-___-Maugham-novel
Sam Adams Summer ___	http://www.crosswordgiant.com/crossword-clue/734935/Sam-Adams-Summer-___
Mugful at the Pig and Whistle	http://www.crosswordgiant.com/crossword-clue/735180/Mugful-at-the-Pig-and-Whistle
It may be red or brown	http://www.crosswordgiant.com/crossword-clue/745045/It-may-be-red-or-brown
Some pint contents	http://www.crosswordgiant.com/crossword-clue/745992/Some-pint-contents
First round draft pick, perhaps	http://www.crosswordgiant.com/crossword-clue/755190/First-round-draft-pick-perhaps
It might be pale or brown	http://www.crosswordgiant.com/crossword-clue/756790/It-might-be-pale-or-brown
Andy Capp order	http://www.crosswordgiant.com/crossword-clue/766003/Andy-Capp-order
Foamy fare	http://www.crosswordgiant.com/crossword-clue/766933/Foamy-fare
It's poured in pints	http://www.crosswordgiant.com/crossword-clue/767343/Its-poured-in-pints
Rathskeller serving	http://www.crosswordgiant.com/crossword-clue/773215/Rathskeller-serving
"Ail" homophone	http://www.crosswordgiant.com/crossword-clue/774172/Ail-homophone
Tavern choice	http://www.crosswordgiant.com/crossword-clue/774187/Tavern-choice
Brew in a yard	http://www.crosswordgiant.com/crossword-clue/783536/Brew-in-a-yard
'A.M. ___' (1990s SNL ad product)	http://www.crosswordgiant.com/crossword-clue/783969/A.M.-___-1990s-SNL-ad-product
McSorley's Old ___ House, New York landmark since 1854	http://www.crosswordgiant.com/crossword-clue/784713/McSorleys-Old-___-House-New-York-landmark-since-1854
"A.M. ___" (1990s SNL ad product)	http://www.crosswordgiant.com/crossword-clue/785344/A.M.-___-1990s-SNL-ad-product
Ballantine product	http://www.crosswordgiant.com/crossword-clue/791203/Ballantine-product
First round draft pick?	http://www.crosswordgiant.com/crossword-clue/792405/First-round-draft-pick
Ingredient in a black and tan	http://www.crosswordgiant.com/crossword-clue/795615/Ingredient-in-a-black-and-tan
Inn selection	http://www.crosswordgiant.com/crossword-clue/798071/Inn-selection
Cousin of 7-Across	http://www.crosswordgiant.com/crossword-clue/802358/Cousin-of-7-Across
Pint drink	http://www.crosswordgiant.com/crossword-clue/802636/Pint-drink
It might be sold by the yard	http://www.crosswordgiant.com/crossword-clue/802779/It-might-be-sold-by-the-yard
Tavern drink	http://www.crosswordgiant.com/crossword-clue/809067/Tavern-drink
Drink that may be made from ginger	http://www.crosswordgiant.com/crossword-clue/810961/Drink-that-may-be-made-from-ginger
Something to fill a 28 Down	http://www.crosswordgiant.com/crossword-clue/813088/Something-to-fill-a-28-Down
Some schooner cargo	http://www.crosswordgiant.com/crossword-clue/815037/Some-schooner-cargo
It may be after "ginger"	http://www.crosswordgiant.com/crossword-clue/817074/It-may-be-after-ginger
Drafted stuff	http://www.crosswordgiant.com/crossword-clue/817302/Drafted-stuff
It's drawn in pubs	http://www.crosswordgiant.com/crossword-clue/818990/Its-drawn-in-pubs
Happy hour order, perhaps	http://www.crosswordgiant.com/crossword-clue/821806/Happy-hour-order-perhaps
Stein refill	http://www.crosswordgiant.com/crossword-clue/823627/Stein-refill
Sam Adams, maybe	http://www.crosswordgiant.com/crossword-clue/828055/Sam-Adams-maybe
Export or India Pale	http://www.crosswordgiant.com/crossword-clue/829279/Export-or-India-Pale
With ginger, Invention of our J.Mclaughlin	http://www.crosswordgiant.com/crossword-clue/831221/With-ginger-Invention-of-our-J.Mclaughlin
Ginger ___ soda	http://www.crosswordgiant.com/crossword-clue/831428/Ginger-___-soda
Mugful for Muggeridge	http://www.crosswordgiant.com/crossword-clue/832760/Mugful-for-Muggeridge
Beverage made from barley	http://www.crosswordgiant.com/crossword-clue/834299/Beverage-made-from-barley
Choice after a long, hard day	http://www.crosswordgiant.com/crossword-clue/835771/Choice-after-a-long-hard-day
Cakes' partner	http://www.crosswordgiant.com/crossword-clue/839243/Cakes-partner
Ginger ___ (soda choice)	http://www.crosswordgiant.com/crossword-clue/839990/Ginger-___-soda-choice
Black and tan half	http://www.crosswordgiant.com/crossword-clue/842473/Black-and-tan-half
It may be blonde or brown	http://www.crosswordgiant.com/crossword-clue/843736/It-may-be-blonde-or-brown
Brew pub offering	http://www.crosswordgiant.com/crossword-clue/845758/Brew-pub-offering
Booze by the yard?	http://www.crosswordgiant.com/crossword-clue/847242/Booze-by-the-yard
Quaff for Andy Capp	http://www.crosswordgiant.com/crossword-clue/851023/Quaff-for-Andy-Capp
''Pale'' potable	http://www.crosswordgiant.com/crossword-clue/853707/Pale-potable
11-Across staple	http://www.crosswordgiant.com/crossword-clue/854969/11-Across-staple
India pale, for one	http://www.crosswordgiant.com/crossword-clue/858031/India-pale-for-one
Word after pale or ginger	http://www.crosswordgiant.com/crossword-clue/860977/Word-after-pale-or-ginger
Moose Drool or Trout Slayer	http://www.crosswordgiant.com/crossword-clue/861222/Moose-Drool-or-Trout-Slayer
Cakes' fictional partner	http://www.crosswordgiant.com/crossword-clue/863201/Cakes-fictional-partner
Pale brew	http://www.crosswordgiant.com/crossword-clue/864522/Pale-brew
Stout, for one	http://www.crosswordgiant.com/crossword-clue/865340/Stout-for-one
Drink by a dartboard, often	http://www.crosswordgiant.com/crossword-clue/867978/Drink-by-a-dartboard-often
Merry Men's quaff	http://www.crosswordgiant.com/crossword-clue/870931/Merry-Mens-quaff
Pale pub potable	http://www.crosswordgiant.com/crossword-clue/875617/Pale-pub-potable
Bloke's brew	http://www.crosswordgiant.com/crossword-clue/876604/Blokes-brew
Saloon brew	http://www.crosswordgiant.com/crossword-clue/877203/Saloon-brew
Barrel beverage	http://www.crosswordgiant.com/crossword-clue/878019/Barrel-beverage
Black and tan beverage	http://www.crosswordgiant.com/crossword-clue/879065/Black-and-tan-beverage
''Dark'' drink	http://www.crosswordgiant.com/crossword-clue/882319/Dark-drink
The tan in a Black and Tan	http://www.crosswordgiant.com/crossword-clue/883459/The-tan-in-a-Black-and-Tan
Bar option	http://www.crosswordgiant.com/crossword-clue/883623/Bar-option
Hoppy beverage	http://www.crosswordgiant.com/crossword-clue/887762/Hoppy-beverage
Beer, in Bath	http://www.crosswordgiant.com/crossword-clue/891990/Beer-in-Bath
Ballantine ___ (bygone brand)	http://www.crosswordgiant.com/crossword-clue/893311/Ballantine-___-bygone-brand
Pint contents, maybe	http://www.crosswordgiant.com/crossword-clue/896341/Pint-contents-maybe
It may take a few hops	http://www.crosswordgiant.com/crossword-clue/897195/It-may-take-a-few-hops
Pint contents	http://www.crosswordgiant.com/crossword-clue/898392/Pint-contents
McSorley's order	http://www.crosswordgiant.com/crossword-clue/898597/McSorleys-order
Pale potation	http://www.crosswordgiant.com/crossword-clue/899036/Pale-potation
Trappist product	http://www.crosswordgiant.com/crossword-clue/899050/Trappist-product
Drink sold by the yard	http://www.crosswordgiant.com/crossword-clue/902524/Drink-sold-by-the-yard
Sierra Nevada, for one	http://www.crosswordgiant.com/crossword-clue/909942/Sierra-Nevada-for-one
Pint poured in a pub	http://www.crosswordgiant.com/crossword-clue/911091/Pint-poured-in-a-pub
Order at the Pig & Whistle	http://www.crosswordgiant.com/crossword-clue/911939/Order-at-the-Pig-Whistle
It might be blonde or brown	http://www.crosswordgiant.com/crossword-clue/913305/It-might-be-blonde-or-brown
Word on beer bottle labels	http://www.crosswordgiant.com/crossword-clue/914942/Word-on-beer-bottle-labels
Tavern tankardful	http://www.crosswordgiant.com/crossword-clue/916946/Tavern-tankardful
Nut brown beverage	http://www.crosswordgiant.com/crossword-clue/918449/Nut-brown-beverage
Some six-pack contents	http://www.crosswordgiant.com/crossword-clue/920371/Some-six-pack-contents
Alexander Keith specialty	http://www.crosswordgiant.com/crossword-clue/922679/Alexander-Keith-specialty
Word after ginger or brown	http://www.crosswordgiant.com/crossword-clue/922687/Word-after-ginger-or-brown
Thing drawn in bars	http://www.crosswordgiant.com/crossword-clue/926895/Thing-drawn-in-bars
Drink in a yard	http://www.crosswordgiant.com/crossword-clue/927279/Drink-in-a-yard
Microbrewery pint	http://www.crosswordgiant.com/crossword-clue/929479/Microbrewery-pint
Bottle marked 'XXX' in the comics	http://www.crosswordgiant.com/crossword-clue/930797/Bottle-marked-XXX-in-the-comics
It's made from barley	http://www.crosswordgiant.com/crossword-clue/932840/Its-made-from-barley
It's made with hops	http://www.crosswordgiant.com/crossword-clue/936320/Its-made-with-hops
English beer, may be bitter	http://www.crosswordgiant.com/crossword-clue/952607/English-beer-may-be-bitter
Beer consumed in chalets	http://www.crosswordgiant.com/crossword-clue/953220/Beer-consumed-in-chalets
Beer consumed in sales	http://www.crosswordgiant.com/crossword-clue/958815/Beer-consumed-in-sales
English beer	http://www.crosswordgiant.com/crossword-clue/970334/English-beer
Similar to beer	http://www.crosswordgiant.com/crossword-clue/985671/Similar-to-beer
Beer procured in sales	http://www.crosswordgiant.com/crossword-clue/990232/Beer-procured-in-sales
English beer, mild or bitter	http://www.crosswordgiant.com/crossword-clue/1015825/English-beer-mild-or-bitter
English beer in sales	http://www.crosswordgiant.com/crossword-clue/1028242/English-beer-in-sales
Does he brew this?	http://www.crosswordgiant.com/crossword-clue/1043589/Does-he-brew-this
Have one of the 8 down withyour drink like this for a hoop	http://www.crosswordgiant.com/crossword-clue/1052966/Have-one-of-the-8-down-withyour-drink-like-this-for-a-hoop
Some beer for George Russell when he's about fifty	http://www.crosswordgiant.com/crossword-clue/1059512/Some-beer-for-George-Russell-when-hes-about-fifty
Drink to the start of 30 across	http://www.crosswordgiant.com/crossword-clue/1060119/Drink-to-the-start-of-30-across
See 1 down	http://www.crosswordgiant.com/crossword-clue/1066359/See-1-down
2 down might get back to drink like this for a start	http://www.crosswordgiant.com/crossword-clue/1067870/2-down-might-get-back-to-drink-like-this-for-a-start
Around fifty, Russell is not 9 across	http://www.crosswordgiant.com/crossword-clue/1069283/Around-fifty-Russell-is-not-9-across
A farthing more of this would have made the dress outstanding	http://www.crosswordgiant.com/crossword-clue/1070021/A-farthing-more-of-this-would-have-made-the-dress-outstanding
Is drink needed to keep the unaspirated hearty?	http://www.crosswordgiant.com/crossword-clue/1071293/Is-drink-needed-to-keep-the-unaspirated-hearty
The sort of drink an S.C. might play with	http://www.crosswordgiant.com/crossword-clue/1074180/The-sort-of-drink-an-S.C.-might-play-with
After 1 down, from the outskirts came very cheap beer	http://www.crosswordgiant.com/crossword-clue/1089296/After-1-down-from-the-outskirts-came-very-cheap-beer
That may get one pickled and 'earty	http://www.crosswordgiant.com/crossword-clue/1090853/That-may-get-one-pickled-and-earty
Sounds as if one might get sick of drink like this	http://www.crosswordgiant.com/crossword-clue/1101190/Sounds-as-if-one-might-get-sick-of-drink-like-this
Drink the outside of 13 across	http://www.crosswordgiant.com/crossword-clue/1111387/Drink-the-outside-of-13-across
Just a drink with 15 across after five	http://www.crosswordgiant.com/crossword-clue/1112767/Just-a-drink-with-15-across-after-five
Just a pint with the French	http://www.crosswordgiant.com/crossword-clue/1117681/Just-a-pint-with-the-French
Reg was able to fill himself up with this	http://www.crosswordgiant.com/crossword-clue/1123014/Reg-was-able-to-fill-himself-up-with-this
Drink sounds as if it might make one sick	http://www.crosswordgiant.com/crossword-clue/1124681/Drink-sounds-as-if-it-might-make-one-sick
Not to be found in 10 across, but one may ration it within reason	http://www.crosswordgiant.com/crossword-clue/1127280/Not-to-be-found-in-10-across-but-one-may-ration-it-within-reason
The pastor would have this rustic sort of a drink	http://www.crosswordgiant.com/crossword-clue/1140454/The-pastor-would-have-this-rustic-sort-of-a-drink
The same sort of thing as 18 down, but clearer	http://www.crosswordgiant.com/crossword-clue/1142627/The-same-sort-of-thing-as-18-down-but-clearer
B e'er a the in France?	http://www.crosswordgiant.com/crossword-clue/1146266/B-eer-a-the-in-France
Hebrews this?	http://www.crosswordgiant.com/crossword-clue/1150291/Hebrews-this
A drink with the French in England	http://www.crosswordgiant.com/crossword-clue/1152723/A-drink-with-the-French-in-England
Barley wine, for example	http://www.crosswordgiant.com/crossword-clue/1195012/Barley-wine-for-example
Microbrewery buy	http://www.crosswordgiant.com/crossword-clue/1202186/Microbrewery-buy
Brewers often flavor it with pumpkin in the fall	http://www.crosswordgiant.com/crossword-clue/1208488/Brewers-often-flavor-it-with-pumpkin-in-the-fall
Bar pint contents	http://www.crosswordgiant.com/crossword-clue/1209497/Bar-pint-contents
Pale or brown brew	http://www.crosswordgiant.com/crossword-clue/1215770/Pale-or-brown-brew
One might be blonde	http://www.crosswordgiant.com/crossword-clue/1218484/One-might-be-blonde
Bitter beverage	http://www.crosswordgiant.com/crossword-clue/1218697/Bitter-beverage
Brewhouse brew	http://www.crosswordgiant.com/crossword-clue/1225328/Brewhouse-brew
Porter or stout	http://www.crosswordgiant.com/crossword-clue/1228697/Porter-or-stout
''Pale'' beverage	http://www.crosswordgiant.com/crossword-clue/1228918/Pale-beverage
It's sold by the pint	http://www.crosswordgiant.com/crossword-clue/1229363/Its-sold-by-the-pint
Wife or house preceder	http://www.crosswordgiant.com/crossword-clue/1235674/Wife-or-house-preceder
Fat Tire product	http://www.crosswordgiant.com/crossword-clue/1237651/Fat-Tire-product
It may be pale and drunk in dark rooms	http://www.crosswordgiant.com/crossword-clue/1238546/It-may-be-pale-and-drunk-in-dark-rooms
Dogfish Head product	http://www.crosswordgiant.com/crossword-clue/1243917/Dogfish-Head-product
It might be sold in a yard	http://www.crosswordgiant.com/crossword-clue/1249631/It-might-be-sold-in-a-yard
Draft candidate	http://www.crosswordgiant.com/crossword-clue/1250232/Draft-candidate
Drink that may accompany fish and chips	http://www.crosswordgiant.com/crossword-clue/1251355/Drink-that-may-accompany-fish-and-chips
It might be on draft	http://www.crosswordgiant.com/crossword-clue/1251923/It-might-be-on-draft
Oktoberfest brew	http://www.crosswordgiant.com/crossword-clue/1251932/Oktoberfest-brew
Buzzsaw Brown, e.g	http://www.crosswordgiant.com/crossword-clue/1404232/Buzzsaw-Brown-e.g
1-Across kin	http://www.crosswordgiant.com/crossword-clue/1411496/1-Across-kin
It may be pale or brown	http://www.crosswordgiant.com/crossword-clue/1413828/It-may-be-pale-or-brown
Pub fare	http://www.crosswordgiant.com/crossword-clue/1420268/Pub-fare
Porter, for example	http://www.crosswordgiant.com/crossword-clue/1421427/Porter-for-example
Sierra Nevada, e.g	http://www.crosswordgiant.com/crossword-clue/1421807/Sierra-Nevada-e.g
"Ginger" drink	http://www.crosswordgiant.com/crossword-clue/1421885/Ginger-drink
Something that's not hard to drink?	http://www.crosswordgiant.com/crossword-clue/1425011/Something-thats-not-hard-to-drink
Gingery drink, at times	http://www.crosswordgiant.com/crossword-clue/1426648/Gingery-drink-at-times
Publican's pour, perhaps	http://www.crosswordgiant.com/crossword-clue/1427510/Publicans-pour-perhaps
Yard contents, sometimes	http://www.crosswordgiant.com/crossword-clue/1428792/Yard-contents-sometimes
Kin of 37-Across	http://www.crosswordgiant.com/crossword-clue/1430336/Kin-of-37-Across
Full Sail or Fuller's	http://www.crosswordgiant.com/crossword-clue/1431351/Full-Sail-or-Fullers
Samuel Adams Summer ___	http://www.crosswordgiant.com/crossword-clue/1433046/Samuel-Adams-Summer-___
Choice in a pub	http://www.crosswordgiant.com/crossword-clue/1434318/Choice-in-a-pub
Alexander Keith offering	http://www.crosswordgiant.com/crossword-clue/1437220/Alexander-Keith-offering
India Pale is one	http://www.crosswordgiant.com/crossword-clue/1440592/India-Pale-is-one
The 'A' in IPA	http://www.crosswordgiant.com/crossword-clue/1444738/The-A-in-IPA
London brew	http://www.crosswordgiant.com/crossword-clue/1449732/London-brew
'Dark' quaff	http://www.crosswordgiant.com/crossword-clue/1457994/Dark-quaff
It may be inn stock	http://www.crosswordgiant.com/crossword-clue/1458559/It-may-be-inn-stock
13 Down serving	http://www.crosswordgiant.com/crossword-clue/1463050/13-Down-serving
Pub beer	http://www.crosswordgiant.com/crossword-clue/1463115/Pub-beer
Oft-pale beverage	http://www.crosswordgiant.com/crossword-clue/1467559/Oft-pale-beverage
What a round might contain	http://www.crosswordgiant.com/crossword-clue/1468365/What-a-round-might-contain
Word with "bitter" or "winter"	http://www.crosswordgiant.com/crossword-clue/1469800/Word-with-bitter-or-winter
Pilsener relative	http://www.crosswordgiant.com/crossword-clue/1473201/Pilsener-relative
Hoop's outer edge	http://www.crosswordgiant.com/crossword-clue/1474400/Hoops-outer-edge
Pint filler	http://www.crosswordgiant.com/crossword-clue/1474825/Pint-filler
Drink with plenty of 10-Across	http://www.crosswordgiant.com/crossword-clue/1475534/Drink-with-plenty-of-10-Across
It may be represented by 'XXX' in the funnies	http://www.crosswordgiant.com/crossword-clue/1477841/It-may-be-represented-by-XXX-in-the-funnies
Draught serving	http://www.crosswordgiant.com/crossword-clue/1480667/Draught-serving
Canterbury quaff	http://www.crosswordgiant.com/crossword-clue/1481521/Canterbury-quaff
Taproom order	http://www.crosswordgiant.com/crossword-clue/1481844/Taproom-order
Barley wine, really	http://www.crosswordgiant.com/crossword-clue/1482283/Barley-wine-really
''Craft'' product	http://www.crosswordgiant.com/crossword-clue/1483160/Craft-product
It has a head and hops?	http://www.crosswordgiant.com/crossword-clue/1493692/It-has-a-head-and-hops
Word with "house" or "bitter"	http://www.crosswordgiant.com/crossword-clue/1495146/Word-with-house-or-bitter
Newcastle specialty	http://www.crosswordgiant.com/crossword-clue/1495881/Newcastle-specialty
Rathskeller specialty	http://www.crosswordgiant.com/crossword-clue/1497570/Rathskeller-specialty
Tankard drink	http://www.crosswordgiant.com/crossword-clue/1500614/Tankard-drink
Tavern brew	http://www.crosswordgiant.com/crossword-clue/1501012/Tavern-brew
Beverage with fish and chips, perhaps	http://www.crosswordgiant.com/crossword-clue/1501453/Beverage-with-fish-and-chips-perhaps
Summer ___	http://www.crosswordgiant.com/crossword-clue/1502114/Summer-___
Light-coloured beer	http://www.crosswordgiant.com/crossword-clue/1502264/Light-coloured-beer
It may be blond or pale	http://www.crosswordgiant.com/crossword-clue/1502511/It-may-be-blond-or-pale
