Put away	crosswordtracker.com/clue/put-away/
Last-minute party purchase	http://www.crosswordgiant.com/crossword-clue/1251966/Last-minute-party-purchase
Winter glaze	http://www.crosswordgiant.com/crossword-clue/1253349/Winter-glaze
Word repeated before 'Baby' in a hip-hop title	http://www.crosswordgiant.com/crossword-clue/1254970/Word-repeated-before-Baby-in-a-hip-hop-title
There'll be talk if this is broken	http://www.crosswordgiant.com/crossword-clue/1298327/Therell-be-talk-if-this-is-broken
Dropped in for a cold drink	http://www.crosswordgiant.com/crossword-clue/1316674/Dropped-in-for-a-cold-drink
Diamonds, that is, capturing clubs	http://www.crosswordgiant.com/crossword-clue/1340149/Diamonds-that-is-capturing-clubs
Diamonds!	http://www.crosswordgiant.com/crossword-clue/1351908/Diamonds
It's cold	http://www.crosswordgiant.com/crossword-clue/1358528/Its-cold
Frozen liquid	http://www.crosswordgiant.com/crossword-clue/1360021/Frozen-liquid
Frozen water - diamonds	http://www.crosswordgiant.com/crossword-clue/1361379/Frozen-water-diamonds
Chill - harden	http://www.crosswordgiant.com/crossword-clue/1375377/Chill-harden
Cold stuff	http://www.crosswordgiant.com/crossword-clue/1388816/Cold-stuff
Cubes in a drink	http://www.crosswordgiant.com/crossword-clue/1392899/Cubes-in-a-drink
Diamonds (slang)	http://www.crosswordgiant.com/crossword-clue/1397133/Diamonds-slang
Decorate with frosting	http://www.crosswordgiant.com/crossword-clue/1401935/Decorate-with-frosting
Yegg's diamonds	http://www.crosswordgiant.com/crossword-clue/1414462/Yeggs-diamonds
Coco's co-star	http://www.crosswordgiant.com/crossword-clue/1417630/Cocos-co-star
Clinch, in slang	http://www.crosswordgiant.com/crossword-clue/1420848/Clinch-in-slang
Water at 31 degrees	http://www.crosswordgiant.com/crossword-clue/1424504/Water-at-31-degrees
Cover at the bakery	http://www.crosswordgiant.com/crossword-clue/1438712/Cover-at-the-bakery
Scotch dilutant	http://www.crosswordgiant.com/crossword-clue/1441108/Scotch-dilutant
With 100-Down, did an axel or a lutz	http://www.crosswordgiant.com/crossword-clue/1442216/With-100-Down-did-an-axel-or-a-lutz
What makes a drink clink	http://www.crosswordgiant.com/crossword-clue/1451547/What-makes-a-drink-clink
Rink coverer	http://www.crosswordgiant.com/crossword-clue/1451861/Rink-coverer
Type of tray or cube	http://www.crosswordgiant.com/crossword-clue/1452289/Type-of-tray-or-cube
Freezer tray contents	http://www.crosswordgiant.com/crossword-clue/1455907/Freezer-tray-contents
Bobsled run surface	http://www.crosswordgiant.com/crossword-clue/1460897/Bobsled-run-surface
Treat, as a bruise	http://www.crosswordgiant.com/crossword-clue/1467599/Treat-as-a-bruise
With 83-Down, glacial epoch	http://www.crosswordgiant.com/crossword-clue/1468677/With-83-Down-glacial-epoch
It makes a drink clink	http://www.crosswordgiant.com/crossword-clue/1470650/It-makes-a-drink-clink
119 Down surface	http://www.crosswordgiant.com/crossword-clue/1474148/119-Down-surface
Type of tray or chest	http://www.crosswordgiant.com/crossword-clue/1495184/Type-of-tray-or-chest
Swelling reliever	http://www.crosswordgiant.com/crossword-clue/1496259/Swelling-reliever
__ cold	http://www.crosswordgiant.com/crossword-clue/1496568/__-cold
Milieu for axels	http://www.crosswordgiant.com/crossword-clue/1496895/Milieu-for-axels
Put away	http://www.crosswordgiant.com/crossword-clue/14376/Put-away
