Hot spot	crosswordtracker.com/clue/hot-spot/
Bath - mineral water spring	http://www.crosswordgiant.com/crossword-clue/1376161/Bath-mineral-water-spring
Resort with springs	http://www.crosswordgiant.com/crossword-clue/1403898/Resort-with-springs
Where to get a mudbath	http://www.crosswordgiant.com/crossword-clue/1404056/Where-to-get-a-mudbath
Resort amenity	http://www.crosswordgiant.com/crossword-clue/1416142/Resort-amenity
Luxury retreat	http://www.crosswordgiant.com/crossword-clue/1421193/Luxury-retreat
Mani-pedi spot	http://www.crosswordgiant.com/crossword-clue/1422596/Mani-pedi-spot
Restful retreat	http://www.crosswordgiant.com/crossword-clue/1425120/Restful-retreat
Mud wrap venue	http://www.crosswordgiant.com/crossword-clue/1428180/Mud-wrap-venue
Workout hangout	http://www.crosswordgiant.com/crossword-clue/1428920/Workout-hangout
Where the rub is, sometimes	http://www.crosswordgiant.com/crossword-clue/1430244/Where-the-rub-is-sometimes
Place for a mani-pedi	http://www.crosswordgiant.com/crossword-clue/1430750/Place-for-a-mani-pedi
Body wrap offerer	http://www.crosswordgiant.com/crossword-clue/1434659/Body-wrap-offerer
Mineral spring site	http://www.crosswordgiant.com/crossword-clue/1436811/Mineral-spring-site
Spot for a peel	http://www.crosswordgiant.com/crossword-clue/1438973/Spot-for-a-peel
Steamboat Springs, Colo., for one	http://www.crosswordgiant.com/crossword-clue/1443800/Steamboat-Springs-Colo.-for-one
Seaweed-wrap site	http://www.crosswordgiant.com/crossword-clue/1450403/Seaweed-wrap-site
Relaxing getaway spot	http://www.crosswordgiant.com/crossword-clue/1450971/Relaxing-getaway-spot
Cruise ship feature	http://www.crosswordgiant.com/crossword-clue/1454808/Cruise-ship-feature
Source of water in outer space?	http://www.crosswordgiant.com/crossword-clue/1464010/Source-of-water-in-outer-space
Facial site	http://www.crosswordgiant.com/crossword-clue/1466516/Facial-site
Vacation facility	http://www.crosswordgiant.com/crossword-clue/1468455/Vacation-facility
Balneotherapy locale	http://www.crosswordgiant.com/crossword-clue/1469297/Balneotherapy-locale
Lake Manitou, for one	http://www.crosswordgiant.com/crossword-clue/1470453/Lake-Manitou-for-one
Where people lose on purpose	http://www.crosswordgiant.com/crossword-clue/1474697/Where-people-lose-on-purpose
Relaxing facility	http://www.crosswordgiant.com/crossword-clue/1494682/Relaxing-facility
Place to find sweaters?	http://www.crosswordgiant.com/crossword-clue/1497669/Place-to-find-sweaters
Where you might say ''ahh''	http://www.crosswordgiant.com/crossword-clue/1497941/Where-you-might-say-ahh
Reflexologist's place	http://www.crosswordgiant.com/crossword-clue/1499380/Reflexologists-place
Cruise-ship amenity, often	http://www.crosswordgiant.com/crossword-clue/1501888/Cruise-ship-amenity-often
