Kind of party	crosswordtracker.com/clue/kind-of-party/
Light meal - eat up	http://www.crosswordgiant.com/crossword-clue/1019808/Light-meal-eat-up
The cup that cheers but not inebriates	http://www.crosswordgiant.com/crossword-clue/1028980/The-cup-that-cheers-but-not-inebriates
42 followers, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1044115/42-followers-by-the-sound-of-it
One might pour this over you, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1049338/One-might-pour-this-over-you-by-the-sound-of-it
Sing afterwards, just so as to annoy	http://www.crosswordgiant.com/crossword-clue/1050794/Sing-afterwards-just-so-as-to-annoy
This ring is a rip	http://www.crosswordgiant.com/crossword-clue/1056379/This-ring-is-a-rip
15 across is what to do with this before you	http://www.crosswordgiant.com/crossword-clue/1056655/15-across-is-what-to-do-with-this-before-you
The sort of ring that's absolutely ripping	http://www.crosswordgiant.com/crossword-clue/1060021/The-sort-of-ring-thats-absolutely-ripping
The sort of ring that's a rip in the cup	http://www.crosswordgiant.com/crossword-clue/1063203/The-sort-of-ring-thats-a-rip-in-the-cup
One might give this a ring and let it rip	http://www.crosswordgiant.com/crossword-clue/1064727/One-might-give-this-a-ring-and-let-it-rip
That might get the cup before you	http://www.crosswordgiant.com/crossword-clue/1066124/That-might-get-the-cup-before-you
You follow such ring for a rip	http://www.crosswordgiant.com/crossword-clue/1066328/You-follow-such-ring-for-a-rip
A rip might have this sort of ring	http://www.crosswordgiant.com/crossword-clue/1066762/A-rip-might-have-this-sort-of-ring
One gets drunk before you	http://www.crosswordgiant.com/crossword-clue/1066962/One-gets-drunk-before-you
Not after you, before you	http://www.crosswordgiant.com/crossword-clue/1068502/Not-after-you-before-you
You follow this for a meal?	http://www.crosswordgiant.com/crossword-clue/1069785/You-follow-this-for-a-meal
This ring for a rip	http://www.crosswordgiant.com/crossword-clue/1072504/This-ring-for-a-rip
Sounds as if you might be a follower of this	http://www.crosswordgiant.com/crossword-clue/1073773/Sounds-as-if-you-might-be-a-follower-of-this
That sort of ring is a rip	http://www.crosswordgiant.com/crossword-clue/1077039/That-sort-of-ring-is-a-rip
You might have this drink before you	http://www.crosswordgiant.com/crossword-clue/1078134/You-might-have-this-drink-before-you
After the gala, a drink will make her lively	http://www.crosswordgiant.com/crossword-clue/1078938/After-the-gala-a-drink-will-make-her-lively
A drink that made 31 across come to life	http://www.crosswordgiant.com/crossword-clue/1082704/A-drink-that-made-31-across-come-to-life
May be poured before you	http://www.crosswordgiant.com/crossword-clue/1083205/May-be-poured-before-you
Perhaps it's potted	http://www.crosswordgiant.com/crossword-clue/1083805/Perhaps-its-potted
This could get a ring for a rip	http://www.crosswordgiant.com/crossword-clue/1089495/This-could-get-a-ring-for-a-rip
How ripping it could be to have such a drink with a ring!	http://www.crosswordgiant.com/crossword-clue/1092548/How-ripping-it-could-be-to-have-such-a-drink-with-a-ring
Aged enough to be up for the cup	http://www.crosswordgiant.com/crossword-clue/1093877/Aged-enough-to-be-up-for-the-cup
You sound like a follower of this	http://www.crosswordgiant.com/crossword-clue/1097093/You-sound-like-a-follower-of-this
You might sound like this after a drink like this	http://www.crosswordgiant.com/crossword-clue/1101385/You-might-sound-like-this-after-a-drink-like-this
42 afterwards, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1103982/42-afterwards-by-the-sound-of-it
Sounds as if you follow the pouring of this	http://www.crosswordgiant.com/crossword-clue/1107523/Sounds-as-if-you-follow-the-pouring-of-this
-42?	http://www.crosswordgiant.com/crossword-clue/1112077/-42
Before you get a ring for a rent	http://www.crosswordgiant.com/crossword-clue/1116526/Before-you-get-a-ring-for-a-rent
Sounds as if the drink comes before you	http://www.crosswordgiant.com/crossword-clue/1122327/Sounds-as-if-the-drink-comes-before-you
Just before you, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1123110/Just-before-you-by-the-sound-of-it
You follow this for a cup	http://www.crosswordgiant.com/crossword-clue/1126098/You-follow-this-for-a-cup
You follow it for a drink	http://www.crosswordgiant.com/crossword-clue/1130789/You-follow-it-for-a-drink
2 4 this	http://www.crosswordgiant.com/crossword-clue/1131382/2-4-this
There's a drink before you	http://www.crosswordgiant.com/crossword-clue/1135582/Theres-a-drink-before-you
This 42?	http://www.crosswordgiant.com/crossword-clue/1136566/This-42
Sing after this just to be a nuisance	http://www.crosswordgiant.com/crossword-clue/1139495/Sing-after-this-just-to-be-a-nuisance
After this you come for a cup	http://www.crosswordgiant.com/crossword-clue/1141061/After-this-you-come-for-a-cup
42 following this?	http://www.crosswordgiant.com/crossword-clue/1141228/42-following-this
What you afterwards poured	http://www.crosswordgiant.com/crossword-clue/1143673/What-you-afterwards-poured
Gets poured before you	http://www.crosswordgiant.com/crossword-clue/1143862/Gets-poured-before-you
The sort of drink that can be absolutely ripping with a ring	http://www.crosswordgiant.com/crossword-clue/1145721/The-sort-of-drink-that-can-be-absolutely-ripping-with-a-ring
You follow it, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1145917/You-follow-it-by-the-sound-of-it
Put it before you?	http://www.crosswordgiant.com/crossword-clue/1147082/Put-it-before-you
Not after you - just drunk	http://www.crosswordgiant.com/crossword-clue/1149805/Not-after-you-just-drunk
Four two after this at four	http://www.crosswordgiant.com/crossword-clue/1150491/Four-two-after-this-at-four
Before you for the after noon?	http://www.crosswordgiant.com/crossword-clue/1150673/Before-you-for-the-after-noon
This ring is simply ripping	http://www.crosswordgiant.com/crossword-clue/1151550/This-ring-is-simply-ripping
Poured before you, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1152104/Poured-before-you-by-the-sound-of-it
Pour out the start of 21 across before you, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1153208/Pour-out-the-start-of-21-across-before-you-by-the-sound-of-it
You sound like a follower of this in a cup	http://www.crosswordgiant.com/crossword-clue/1154666/You-sound-like-a-follower-of-this-in-a-cup
By the sound of it, it's before you to brew (3)	http://www.crosswordgiant.com/crossword-clue/1156026/By-the-sound-of-it-its-before-you-to-brew-3
Sounds as if you follow a soft drink	http://www.crosswordgiant.com/crossword-clue/1159423/Sounds-as-if-you-follow-a-soft-drink
All that the driver can drink, of course	http://www.crosswordgiant.com/crossword-clue/1160579/All-that-the-driver-can-drink-of-course
Leaves before you, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1160977/Leaves-before-you-by-the-sound-of-it
Just one drink before you, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1164331/Just-one-drink-before-you-by-the-sound-of-it
Sound before you	http://www.crosswordgiant.com/crossword-clue/1168310/Sound-before-you
42?	http://www.crosswordgiant.com/crossword-clue/1170864/42
'Before you, in short, and before 1 across (3)'	http://www.crosswordgiant.com/crossword-clue/1173425/Before-you-in-short-and-before-1-across-3
Green or sassafras	http://www.crosswordgiant.com/crossword-clue/1191249/Green-or-sassafras
Four O'Clock is a brand of it	http://www.crosswordgiant.com/crossword-clue/1199101/Four-OClock-is-a-brand-of-it
"When I Take My Sugar to __": 1931 hit	http://www.crosswordgiant.com/crossword-clue/1203088/When-I-Take-My-Sugar-to-__-1931-hit
Comes before you, by the sound of it	http://www.crosswordgiant.com/crossword-clue/1206823/Comes-before-you-by-the-sound-of-it
Brit brew	http://www.crosswordgiant.com/crossword-clue/1208651/Brit-brew
Afternoon cup	http://www.crosswordgiant.com/crossword-clue/1215970/Afternoon-cup
Something sipped with a scone	http://www.crosswordgiant.com/crossword-clue/1223746/Something-sipped-with-a-scone
Drink this and listen to the letter before you I say	http://www.crosswordgiant.com/crossword-clue/1224197/Drink-this-and-listen-to-the-letter-before-you-I-say
Pekoe, e.g	http://www.crosswordgiant.com/crossword-clue/1230350/Pekoe-e.g
4 o'clock refreshment	http://www.crosswordgiant.com/crossword-clue/1253880/4-oclock-refreshment
Type of service or caddy	http://www.crosswordgiant.com/crossword-clue/1255420/Type-of-service-or-caddy
Drink a drop shortly	http://www.crosswordgiant.com/crossword-clue/1301784/Drink-a-drop-shortly
From which one drives, say, for a drink	http://www.crosswordgiant.com/crossword-clue/1316812/From-which-one-drives-say-for-a-drink
Non-alcoholic drink is what driver needs, we hear	http://www.crosswordgiant.com/crossword-clue/1323460/Non-alcoholic-drink-is-what-driver-needs-we-hear
Meal - drink	http://www.crosswordgiant.com/crossword-clue/1348873/Meal-drink
Sort of garden, chest or service	http://www.crosswordgiant.com/crossword-clue/1362385/Sort-of-garden-chest-or-service
Cuppa	http://www.crosswordgiant.com/crossword-clue/1362716/Cuppa
Lapsang souchong	http://www.crosswordgiant.com/crossword-clue/1374294/Lapsang-souchong
Leaves for brewing	http://www.crosswordgiant.com/crossword-clue/1395656/Leaves-for-brewing
Kenyan export	http://www.crosswordgiant.com/crossword-clue/1408232/Kenyan-export
Type of spoon or cup	http://www.crosswordgiant.com/crossword-clue/1409516/Type-of-spoon-or-cup
Lapsang souchong, e.g	http://www.crosswordgiant.com/crossword-clue/1415138/Lapsang-souchong-e.g
Leaves producer with party	http://www.crosswordgiant.com/crossword-clue/1415694/Leaves-producer-with-party
Spot in a pot	http://www.crosswordgiant.com/crossword-clue/1423404/Spot-in-a-pot
Drink from Tazo	http://www.crosswordgiant.com/crossword-clue/1423437/Drink-from-Tazo
Drawing room event	http://www.crosswordgiant.com/crossword-clue/1431884/Drawing-room-event
Long Island Iced ___	http://www.crosswordgiant.com/crossword-clue/1435789/Long-Island-Iced-___
Caddy's contents	http://www.crosswordgiant.com/crossword-clue/1437671/Caddys-contents
Small bag of leaves	http://www.crosswordgiant.com/crossword-clue/1443493/Small-bag-of-leaves
Hot brewed beverage	http://www.crosswordgiant.com/crossword-clue/1444483/Hot-brewed-beverage
Party serving	http://www.crosswordgiant.com/crossword-clue/1445646/Party-serving
Export of India	http://www.crosswordgiant.com/crossword-clue/1450886/Export-of-India
4 p.m. refreshment, perhaps	http://www.crosswordgiant.com/crossword-clue/1451211/4-p.m.-refreshment-perhaps
Alternative to 38-Down	http://www.crosswordgiant.com/crossword-clue/1452452/Alternative-to-38-Down
Major Kenyan export	http://www.crosswordgiant.com/crossword-clue/1457283/Major-Kenyan-export
Leoni of 'Tower Heist'	http://www.crosswordgiant.com/crossword-clue/1460248/Leoni-of-Tower-Heist
Tetley drink	http://www.crosswordgiant.com/crossword-clue/1464981/Tetley-drink
Oolong or souchong	http://www.crosswordgiant.com/crossword-clue/1466818/Oolong-or-souchong
With 6-Down, cups and saucers and such	http://www.crosswordgiant.com/crossword-clue/1476729/With-6-Down-cups-and-saucers-and-such
Spot in front of the telly?	http://www.crosswordgiant.com/crossword-clue/1477842/Spot-in-front-of-the-telly
Leaves in cups	http://www.crosswordgiant.com/crossword-clue/1481051/Leaves-in-cups
Twinings drink	http://www.crosswordgiant.com/crossword-clue/1481441/Twinings-drink
Weak ___	http://www.crosswordgiant.com/crossword-clue/1482584/Weak-___
Leaves in the pantry	http://www.crosswordgiant.com/crossword-clue/1483162/Leaves-in-the-pantry
Orange Pekoe or English Breakfast	http://www.crosswordgiant.com/crossword-clue/1495155/Orange-Pekoe-or-English-Breakfast
Subject of a 1773 Act of Parliament	http://www.crosswordgiant.com/crossword-clue/1497881/Subject-of-a-1773-Act-of-Parliament
